n,N,is_independent,A,B,estimated,answer,error
10000,1000000,dependent,2,1,0.0005070074239999778,0.0010016305745224907,0.4938179435649871
10000,1000000,dependent,2,4,0.0009996936763001095,0.0010016305745224907,0.0019337451068769385
10000,1000000,dependent,2,16,0.0009036973900281703,0.0010016305745224907,0.09777375709702973
10000,1000000,dependent,2,64,0.0007706983909370271,0.0010016305745224907,0.23055624444726674
10000,1000000,dependent,2,256,0.0006402947606466626,0.0010016305745224907,0.3607475880497042
10000,1000000,dependent,2,1024,0.0006589923170264532,0.0010016305745224907,0.3420804697973443
10000,1000000,dependent,2,4096,0.0006783629611233939,0.0010016305745224907,0.3227413595608428
10000,1000000,dependent,4,1,0.0007789719255513769,0.0010016305745224907,0.22229617848602745
10000,1000000,dependent,4,4,0.0009337377783592727,0.0010016305745224907,0.0677822721172271
10000,1000000,dependent,4,16,0.001015660186431258,0.0010016305745224907,0.014006772821861802
10000,1000000,dependent,4,64,0.0009231567645528124,0.0010016305745224907,0.07834606087887164
10000,1000000,dependent,4,256,0.0009375718813903462,0.0010016305745224907,0.06395441069945695
10000,1000000,dependent,4,1024,0.0009593668902744071,0.0010016305745224907,0.04219488234794755
10000,1000000,dependent,8,1,0.0009038098429296614,0.0010016305745224907,0.09766148725987478
10000,1000000,dependent,8,4,0.0009921886881512887,0.0010016305745224907,0.009426515734808905
10000,1000000,dependent,8,16,0.0009340607883291342,0.0010016305745224907,0.06745978798178076
10000,1000000,dependent,8,64,0.0009725279905358076,0.0010016305745224907,0.029055207305904385
10000,1000000,dependent,8,256,0.0009791381170228528,0.0010016305745224907,0.02245584157648217
10000,1000000,dependent,16,1,0.0009832187855464052,0.0010016305745224907,0.01838181605514888
10000,1000000,dependent,16,4,0.0010135570164803219,0.0010016305745224907,0.011907026663515063
10000,1000000,dependent,16,16,0.0010116411730005008,0.0010016305745224907,0.00999430202376006
10000,1000000,dependent,16,64,0.0009915473416061997,0.0010016305745224907,0.010066818218980589
10000,1000000,dependent,16,256,0.000990184623497043,0.0010016305745224907,0.011427317931967496
10000,1000000,dependent,32,1,0.0009786364218198759,0.0010016305745224907,0.022956720059765345
10000,1000000,dependent,32,4,0.0010042428311060573,0.0010016305745224907,0.00260800403862671
10000,1000000,dependent,32,16,0.0009988286552719623,0.0010016305745224907,0.0027973579499248613
10000,1000000,dependent,32,64,0.0009954169067607009,0.0010016305745224907,0.00620355240728554
10000,1000000,dependent,32,256,0.001001267888504415,0.0010016305745224907,0.00036209559422506477
10000,1000000,dependent,64,1,0.0010001806454924486,0.0010016305745224907,0.0014475686614631167
10000,1000000,dependent,64,4,0.0009917249843661166,0.0010016305745224907,0.009889464647279134
10000,1000000,dependent,64,16,0.0009967711272237574,0.0010016305745224907,0.00485153650691017
10000,1000000,dependent,64,64,0.000999914490399063,0.0010016305745224907,0.001713290475628515
10000,1000000,independent,2,1,0.00038079331599999433,0.000999886492398402,0.6191634561573132
10000,1000000,independent,2,4,0.0009819185892653726,0.000999886492398402,0.017969942858144017
10000,1000000,independent,2,16,0.0006838803050938506,0.000999886492398402,0.3160420604808407
10000,1000000,independent,2,64,0.0006305455859802615,0.000999886492398402,0.36938283417771944
10000,1000000,independent,2,256,0.000654195782043464,0.000999886492398402,0.34572995333274126
10000,1000000,independent,4,1,0.001299185922571346,0.000999886492398402,0.29933340679002685
10000,1000000,independent,4,4,0.0010004653428104598,0.000999886492398402,0.0005789161234386331
10000,1000000,independent,4,16,0.0010998721391930143,0.000999886492398402,0.09999699721393318
10000,1000000,independent,4,64,0.0010393780855597122,0.000999886492398402,0.039496076266199776
10000,1000000,independent,4,256,0.001011188886271885,0.000999886492398402,0.01130367692674028
10000,1000000,independent,8,1,0.0010352153293306022,0.000999886492398402,0.03533284747897514
10000,1000000,independent,8,4,0.0009948916434417458,0.000999886492398402,0.004995415974342388
10000,1000000,independent,8,16,0.0010000502029133222,0.000999886492398402,0.00016372909941764213
10000,1000000,independent,8,64,0.000945637936000125,0.000999886492398402,0.05425471472082033
10000,1000000,independent,8,256,0.000978369768546131,0.000999886492398402,0.021519166441242077
10000,1000000,independent,16,1,0.0010061341085870837,0.000999886492398402,0.006248325421114309
10000,1000000,independent,16,4,0.0009590739471509547,0.000999886492398402,0.0408171783074609
10000,1000000,independent,16,16,0.0009954346180107872,0.000999886492398402,0.00445237976656343
10000,1000000,independent,16,64,0.0010020761728167151,0.000999886492398402,0.002189928991900736
10000,1000000,independent,16,256,0.0010003428111953548,0.000999886492398402,0.000456370598484801
10000,1000000,dependent,2,1,0.0006611569839999609,0.0010016305745224907,0.33991932672866376
10000,1000000,dependent,2,4,0.0004617580163903654,0.0010016305745224907,0.5389936887554574
10000,1000000,dependent,2,16,0.0007713516220953067,0.0010016305745224907,0.229904076697105
10000,1000000,dependent,2,64,0.0007505703965573029,0.0010016305745224907,0.2506514720608206
10000,1000000,dependent,2,1,0.00027552867600003084,0.0010016305745224907,0.7249198626635531
10000,1000000,dependent,2,4,0.0006914489961321769,0.0010016305745224907,0.3096766275711854
10000,1000000,dependent,2,16,0.0007810633597441777,0.0010016305745224907,0.22020814898093977
10000,1000000,dependent,2,64,0.0007385444628805256,0.0010016305745224907,0.2626578284787149
10000,1000000,dependent,2,256,0.0007064112856880643,0.0010016305745224907,0.29473869542687114
10000,1000000,dependent,4,1,0.0008347339728555542,0.0010016305745224907,0.16662490733821844
10000,1000000,dependent,4,4,0.0008624320924877314,0.0010016305745224907,0.138971878031099
10000,1000000,dependent,4,16,0.0009414655682622721,0.0010016305745224907,0.0600670624385653
10000,1000000,dependent,4,64,0.0009854068096363509,0.0010016305745224907,0.01619735389354915
10000,1000000,independent,32,1,0.00101250509100014,0.000999886492398402,0.012620031071197024
10000,1000000,independent,32,4,0.0009832945597464786,0.000999886492398402,0.016593816176198928
10000,1000000,independent,32,16,0.000983528336853868,0.000999886492398402,0.01636001253031849
10000,1000000,independent,32,64,0.001005568079224075,0.000999886492398402,0.0056822318021767515
10000,1000000,independent,32,256,0.000995530580712426,0.000999886492398402,0.00435640617119204
10000,1000000,dependent,4,256,0.0009118104146210366,0.0010016305745224907,0.08967393985978733
10000,1000000,dependent,8,1,0.0009685105579909865,0.0010016305745224907,0.03306609979162578
10000,1000000,dependent,8,4,0.000941068528205009,0.0010016305745224907,0.06046345614634774
10000,1000000,dependent,8,16,0.0009515196898660474,0.0010016305745224907,0.05002930814121043
10000,1000000,dependent,8,64,0.000991093597697749,0.0010016305745224907,0.010519823468612799
