n,N,is_independent,estimated,answer,error,delta,s
10,10000,dependent,0.4696959715147791,0.05673675916375908,7.278512527638343,0.001,1000
10,10000,dependent,3.7864687171556186,0.05673675916375908,65.73748682448974,0.001,2000
10,10000,dependent,0.36260796342906826,0.05673675916375908,5.391058791047165,0.001,3000
10,10000,dependent,0.23834757785846306,0.05673675916375908,3.200937476363805,0.001,4000
10,10000,dependent,0.2563946952405693,0.05673675916375908,3.5190225705444034,0.001,5000
10,10000,dependent,0.23680569166149423,0.05673675916375908,3.17376133483414,0.001,6000
10,10000,dependent,0.18018696011121188,0.05673675916375908,2.175841601934629,0.001,7000
10,10000,dependent,0.9703734375525248,0.05673675916375908,16.103081879452084,0.001,8000
10,10000,dependent,0.2768268742327749,0.05673675916375908,3.8791449901777186,0.001,9000
10,10000,dependent,0.2347530353170983,0.05673675916375908,3.137582737842526,0.0001,1000
10,10000,dependent,0.44794893753047993,0.05673675916375908,6.895215449961932,0.0001,2000
10,10000,dependent,2.1398749886216706,0.05673675916375908,36.71584807030232,0.0001,3000
10,10000,dependent,0.3227158523312579,0.05673675916375908,4.687950053682206,0.0001,4000
10,10000,dependent,0.20148904732853326,0.05673675916375908,2.551296378190658,0.0001,5000
10,10000,dependent,0.7427497602046333,0.05673675916375908,12.091155912885995,0.0001,6000
10,10000,dependent,1.1674032969035957,0.05673675916375908,19.57578392051129,0.0001,7000
10,10000,dependent,0.384685056385511,0.05673675916375908,5.7801732431561,0.0001,8000
10,10000,dependent,0.1949353973043606,0.05673675916375908,2.4357866077919494,0.0001,9000
10,10000,dependent,0.37295724091643545,0.05673675916375908,5.573467473529295,1e-05,1000
10,10000,dependent,0.27423584824066494,0.05673675916375908,3.8334774894198507,1e-05,2000
10,10000,dependent,1.3140717927619296,0.05673675916375908,22.160853953062944,1e-05,3000
10,10000,dependent,0.37471972325077263,0.05673675916375908,5.604531678822553,1e-05,4000
10,10000,dependent,0.15683350495134937,0.05673675916375908,1.7642309371016673,1e-05,5000
10,10000,dependent,0.5187135280084025,0.05673675916375908,8.14245959151882,1e-05,6000
10,10000,dependent,0.4925999149182171,0.05673675916375908,7.682200431935634,1e-05,7000
10,10000,dependent,0.17704571054244617,0.05673675916375908,2.120476268858428,1e-05,8000
10,10000,dependent,0.405102264341247,0.05673675916375908,6.140031794413953,1e-05,9000
10,10000,dependent,0.18638283153720953,0.05673675916375908,2.285045432349308,1e-06,1000
10,10000,dependent,0.5989562529225955,0.05673675916375908,9.556758294809022,1e-06,2000
10,10000,dependent,0.39833618722318165,0.05673675916375908,6.02077794174788,1e-06,3000
10,10000,dependent,0.2796870837378221,0.05673675916375908,3.9295569197134146,1e-06,4000
10,10000,dependent,0.6058296045380922,0.05673675916375908,9.677902888134456,1e-06,5000
10,10000,dependent,0.19664146244603722,0.05673675916375908,2.4658564455271716,1e-06,6000
10,10000,dependent,0.5921306328762705,0.05673675916375908,9.436454982689552,1e-06,7000
10,10000,dependent,0.3006680515937429,0.05673675916375908,4.299351884479794,1e-06,8000
10,10000,dependent,0.17960730316801363,0.05673675916375908,2.165624998946693,1e-06,9000
10,10000,dependent,0.2993821263782544,0.05673675916375908,4.276687121203891,1e-07,1000
10,10000,dependent,0.39765024184874087,0.05673675916375908,6.008687977771246,1e-07,2000
10,10000,dependent,0.25936701592855327,0.05673675916375908,3.571410488567796,1e-07,3000
10,10000,dependent,0.3999875752009986,0.05673675916375908,6.049884080381046,1e-07,4000
10,10000,dependent,0.36116571843937517,0.05673675916375908,5.3656388514709485,1e-07,5000
10,10000,dependent,0.23569757406543018,0.05673675916375908,3.1542304766674674,1e-07,6000
10,10000,dependent,0.4935539033110022,0.05673675916375908,7.699014723179015,1e-07,7000
10,10000,dependent,0.4268731124583519,0.05673675916375908,6.5237486023174105,1e-07,8000
10,10000,dependent,1.1519913245716578,0.05673675916375908,19.30414393685529,1e-07,9000
10,10000,dependent,0.577734834953148,0.05673675916375908,9.182725334833354,1e-10,1000
10,10000,dependent,0.7131993646058965,0.05673675916375908,11.570322576010943,1e-10,2000
10,10000,dependent,0.44198249285696145,0.05673675916375908,6.790055325177618,1e-10,3000
10,10000,dependent,0.3975308250469384,0.05673675916375908,6.006583225868555,1e-10,4000
10,10000,dependent,0.491484707328055,0.05673675916375908,7.662544610796056,1e-10,5000
10,10000,dependent,0.3314490629405774,0.05673675916375908,4.841875141016026,1e-10,6000
10,10000,dependent,0.6270989112170144,0.05673675916375908,10.052779898954421,1e-10,7000
10,10000,dependent,0.6061661474533704,0.05673675916375908,9.68383454373549,1e-10,8000
10,10000,dependent,0.5004165024037318,0.05673675916375908,7.819969800520006,1e-10,9000
10,10000,independent,0.009588129842048492,0.008544131134059213,0.1221889846502493,0.001,1000
10,10000,independent,0.030931949696287042,0.008544131134059213,2.6202569004335547,0.001,2000
10,10000,independent,0.002495523750733833,0.008544131134059213,0.7079253921108488,0.001,3000
10,10000,independent,0.03832807955452916,0.008544131134059213,3.4858955174205004,0.001,4000
10,10000,independent,0.005271926615540549,0.008544131134059213,0.3829768606283176,0.001,5000
10,10000,independent,0.008045088934130105,0.008544131134059213,0.058407600737749754,0.001,6000
10,10000,independent,0.006351078776069453,0.008544131134059213,0.25667353690858763,0.001,7000
10,10000,independent,0.009258292672608791,0.008544131134059213,0.08358503952528729,0.001,8000
10,10000,independent,0.01243598264218406,0.008544131134059213,0.45549997384881835,0.001,9000
10,10000,independent,0.0031776493704608177,0.008544131134059213,0.6280898173725531,0.0001,1000
10,10000,independent,0.01627977690033324,0.008544131134059213,0.9053753558905078,0.0001,2000
10,10000,independent,0.011715421803705016,0.008544131134059213,0.3711659640854741,0.0001,3000
10,10000,independent,0.005863311959908775,0.008544131134059213,0.31376147347083294,0.0001,4000
10,10000,independent,0.005959830727099008,0.008544131134059213,0.3024649746606166,0.0001,5000
10,10000,independent,0.010399633696720822,0.008544131134059213,0.21716691066047367,0.0001,6000
10,10000,independent,0.0040749667106559865,0.008544131134059213,0.5230683323185351,0.0001,7000
10,10000,independent,0.011480142404911194,0.008544131134059213,0.34362900390751805,0.0001,8000
10,10000,independent,0.004302387731213903,0.008544131134059213,0.4964511120313423,0.0001,9000
10,10000,independent,0.012634805797797282,0.008544131134059213,0.4787701171195202,1e-05,1000
10,10000,independent,0.005330658178932523,0.008544131134059213,0.37610295356035905,1e-05,2000
10,10000,independent,0.015572683455786846,0.008544131134059213,0.8226175618618405,1e-05,3000
10,10000,independent,0.008810119836145167,0.008544131134059213,0.031131158676351633,1e-05,4000
10,10000,independent,0.008781800425221399,0.008544131134059213,0.027816671752002087,1e-05,5000
10,10000,independent,0.018806624489987753,0.008544131134059213,1.2011160871606323,1e-05,6000
10,10000,independent,0.0034165104323373796,0.008544131134059213,0.6001336614886157,1e-05,7000
10,10000,independent,0.005846611961659319,0.008544131134059213,0.31571603128220427,1e-05,8000
10,10000,independent,0.0048486242483705795,0.008544131134059213,0.43251991661941447,1e-05,9000
10,10000,independent,0.010229344139799227,0.008544131134059213,0.19723632272242408,1e-06,1000
10,10000,independent,0.011453371713432586,0.008544131134059213,0.3404957781811604,1e-06,2000
10,10000,independent,0.00579538043382141,0.008544131134059213,0.3217121386726546,1e-06,3000
10,10000,independent,0.005859909352755092,0.008544131134059213,0.3141597125779225,1e-06,4000
10,10000,independent,0.010942971761604008,0.008544131134059213,0.2807588729510915,1e-06,5000
10,10000,independent,0.012028676686441758,0.008544131134059213,0.40782912828809526,1e-06,6000
10,10000,independent,0.003923841017336193,0.008544131134059213,0.5407559931173453,1e-06,7000
10,10000,independent,0.002708376497855787,0.008544131134059213,0.6830132338372632,1e-06,8000
10,10000,independent,0.02343857249740839,0.008544131134059213,1.7432365128358005,1e-06,9000
10,10000,independent,0.002763446333933027,0.008544131134059213,0.676567893145134,1e-07,1000
10,10000,independent,0.01193266992347523,0.008544131134059213,0.39659255414613037,1e-07,2000
10,10000,independent,0.010557753175780542,0.008544131134059213,0.23567311996119633,1e-07,3000
10,10000,independent,0.007742164114214377,0.008544131134059213,0.0938617405634119,1e-07,4000
10,10000,independent,0.0072549204025658155,0.008544131134059213,0.1508884532862863,1e-07,5000
10,10000,independent,0.004737085983703079,0.008544131134059213,0.44557428843527747,1e-07,6000
10,10000,independent,0.0076685285108961535,0.008544131134059213,0.10248000755426978,1e-07,7000
10,10000,independent,0.005537479553774761,0.008544131134059213,0.35189670349266144,1e-07,8000
10,10000,independent,0.014669204172009887,0.008544131134059213,0.7168748866147991,1e-07,9000
10,10000,independent,0.012041980892680175,0.008544131134059213,0.409386244632598,1e-10,1000
10,10000,independent,0.005697305878464223,0.008544131134059213,0.3331907259998359,1e-10,2000
10,10000,independent,0.0055290279419047805,0.008544131134059213,0.3528858750933044,1e-10,3000
10,10000,independent,0.010706419876941861,0.008544131134059213,0.25307298178783566,1e-10,4000
10,10000,independent,0.005046541049204205,0.008544131134059213,0.4093558525702713,1e-10,5000
10,10000,independent,0.006738791343413713,0.008544131134059213,0.2112958898124735,1e-10,6000
10,10000,independent,0.003387278268184753,0.008544131134059213,0.6035549765052004,1e-10,7000
10,10000,independent,0.002850881120992059,0.008544131134059213,0.6663345779388057,1e-10,8000
10,10000,independent,0.004890792014621467,0.008544131134059213,0.4275846264665286,1e-10,9000
10,100000,dependent,0.4575744960289459,0.06426357176292781,6.120277996949279,0.001,1000
10,100000,dependent,0.10794511112414984,0.06426357176292781,0.6797247361594818,0.001,2000
10,100000,dependent,0.2103979319565656,0.06426357176292781,2.2739844080365814,0.001,3000
10,100000,dependent,0.13176624120819982,0.06426357176292781,1.0504033248306435,0.001,4000
10,100000,dependent,0.18498838377987697,0.06426357176292781,1.8785885798926687,0.001,5000
10,100000,dependent,0.37959643783573416,0.06426357176292781,4.906868034601131,0.001,6000
10,100000,dependent,0.24704964901530868,0.06426357176292781,2.8443186744535414,0.001,7000
10,100000,dependent,0.1831635564567989,0.06426357176292781,1.8501925963981631,0.001,8000
10,100000,dependent,0.1567047663431514,0.06426357176292781,1.4384696032963236,0.001,9000
10,100000,dependent,0.2008226507550749,0.06426357176292781,2.124984267851183,0.0001,1000
10,100000,dependent,0.47783331312226607,0.06426357176292781,6.435523734737651,0.0001,2000
10,100000,dependent,0.8172639247526535,0.06426357176292781,11.717374747976807,0.0001,3000
10,100000,dependent,0.23054815604109896,0.06426357176292781,2.5875403392081133,0.0001,4000
10,100000,dependent,0.5532589654402873,0.06426357176292781,7.6092159253346985,0.0001,5000
10,100000,dependent,0.1497847619922727,0.06426357176292781,1.3307880014020652,0.0001,6000
10,100000,dependent,0.22995488233402936,0.06426357176292781,2.578308457275714,0.0001,7000
10,100000,dependent,0.13349831377362636,0.06426357176292781,1.0773559593934445,0.0001,8000
10,100000,dependent,0.29822719020916455,0.06426357176292781,3.6406880605600733,0.0001,9000
10,100000,dependent,0.31634535482558024,0.06426357176292781,3.9226232863712793,1e-05,1000
10,100000,dependent,0.2437465920541081,0.06426357176292781,2.792920084699057,1e-05,2000
10,100000,dependent,0.25011653344263934,0.06426357176292781,2.8920422034015525,1e-05,3000
10,100000,dependent,0.5386734156215864,0.06426357176292781,7.382251419338862,1e-05,4000
10,100000,dependent,0.1339269837080687,0.06426357176292781,1.0840264559544464,1e-05,5000
10,100000,dependent,0.22900498976460723,0.06426357176292781,2.563527259415652,1e-05,6000
10,100000,dependent,0.27905403181061983,0.06426357176292781,3.3423361658151682,1e-05,7000
10,100000,dependent,0.14758566643932097,0.06426357176292781,1.2965680616659996,1e-05,8000
10,100000,dependent,0.2799899365258271,0.06426357176292781,3.3568996998599276,1e-05,9000
10,100000,dependent,0.295120126735672,0.06426357176292781,3.5923393088760758,1e-06,1000
10,100000,dependent,0.8222731996243546,0.06426357176292781,11.795323650197503,1e-06,2000
10,100000,dependent,0.42326436595470673,0.06426357176292781,5.5863809673722225,1e-06,3000
10,100000,dependent,0.5730641905179306,0.06426357176292781,7.917403356165744,1e-06,4000
10,100000,dependent,0.2779616633165083,0.06426357176292781,3.3253379121522473,1e-06,5000
10,100000,dependent,0.18602785563028615,0.06426357176292781,1.8947637133608777,1e-06,6000
10,100000,dependent,0.6288874707215241,0.06426357176292781,8.786064693719917,1e-06,7000
10,100000,dependent,0.19497279973358705,0.06426357176292781,2.0339552313222407,1e-06,8000
10,100000,dependent,0.5098761335250412,0.06426357176292781,6.934139350455108,1e-06,9000
10,100000,dependent,0.15859440016768547,0.06426357176292781,1.4678740352738218,1e-07,1000
10,100000,dependent,0.2838908546436293,0.06426357176292781,3.41760155646063,1e-07,2000
10,100000,dependent,0.3914227408652543,0.06426357176292781,5.090896134893286,1e-07,3000
10,100000,dependent,0.511995673399934,0.06426357176292781,6.967121331019647,1e-07,4000
10,100000,dependent,0.22599552169779008,0.06426357176292781,2.516697181593037,1e-07,5000
10,100000,dependent,0.30523400944302803,0.06426357176292781,3.749720581499184,1e-07,6000
10,100000,dependent,0.7667892134046965,0.06426357176292781,10.931942037604573,1e-07,7000
10,100000,dependent,0.4683948620110951,0.06426357176292781,6.288652796004429,1e-07,8000
10,100000,dependent,0.13196294919305784,0.06426357176292781,1.0534642811307955,1e-07,9000
10,100000,dependent,0.4660978893248555,0.06426357176292781,6.252909798483015,1e-10,1000
10,100000,dependent,0.18392820458564219,0.06426357176292781,1.8620912212001604,1e-10,2000
10,100000,dependent,0.4342976272240906,0.06426357176292781,5.75806861196948,1e-10,3000
10,100000,dependent,0.182574975609759,0.06426357176292781,1.8410337396634144,1e-10,4000
10,100000,dependent,0.19878961267875195,0.06426357176292781,2.0933483344514183,1e-10,5000
10,100000,dependent,0.23153214267803846,0.06426357176292781,2.6028520719665953,1e-10,6000
10,100000,dependent,0.39070104423232094,0.06426357176292781,5.079665874683104,1e-10,7000
10,100000,dependent,0.419274573006093,0.06426357176292781,5.52429613705292,1e-10,8000
10,100000,dependent,0.6545531990385279,0.06426357176292781,9.185446919340464,1e-10,9000
1000,10000,dependent,23.72642688637877,0.010005185184393132,2370.413067235287,0.001,1000
1000,10000,dependent,33.66128306851476,0.010005185184393132,3363.3838118081267,0.001,4000
1000,10000,dependent,17.122082095292768,0.010005185184393132,1710.320858108766,0.001,7000
1000,10000,dependent,55.18972318214218,0.010005185184393132,5515.112112370634,0.0001,1000
1000,10000,dependent,13.513525466254954,0.010005185184393132,1349.652208550263,0.0001,4000
1000,10000,dependent,23.31873252628879,0.010005185184393132,2329.6647599749745,0.0001,7000
1000,10000,dependent,40.405964033272745,0.010005185184393132,4037.502365383613,1e-05,1000
1000,10000,dependent,14.107028208485179,0.010005185184393132,1408.971724510449,1e-05,4000
1000,10000,dependent,46.45913079421631,0.010005185184393132,4642.505336281719,1e-05,7000
1000,10000,dependent,14.927419080218867,0.010005185184393132,1490.9682949500843,1e-06,1000
1000,10000,dependent,20.399704936798724,0.010005185184393132,2037.913279548266,1e-06,4000
1000,10000,dependent,12.84436119116134,0.010005185184393132,1282.7704604605397,1e-06,7000
1000,10000,dependent,42.07814419891373,0.010005185184393132,4204.633721257904,1e-07,1000
1000,10000,dependent,25.185537404812194,0.010005185184393132,2516.248500717264,1e-07,4000
1000,10000,dependent,14.679951588255026,0.010005185184393132,1466.234370749475,1e-07,7000
1000,10000,dependent,19.87868353838878,0.010005185184393132,1985.838141626514,1e-10,1000
1000,10000,dependent,22.351801348550335,0.010005185184393132,2233.021753382078,1e-10,4000
1000,10000,dependent,12.356079077658634,0.010005185184393132,1233.9675543169965,1e-10,7000
